doc_id,text,concept_id,concept_name,concept_prompt,score,rationale,highlight,concept_seed
2,"Pizza boxes are part of the ritual, especially for family nights.\nI teach my kids to eat pizza with their hands too.\nKids love eating from the box - feels special and rebellious.",bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,1.0,"The text explicitly mentions activities enjoyed by children, like eating pizza with hands and from the box, framing these as special and rebellious experiences within a family setting.",Kids love eating from the box - feels special and rebellious.,family
3,"Call me old-fashioned, but I prefer actual dinnerware.\nIt's how pizza was meant to be eaten.\nEven at 67, I can handle a slice just fine.",bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.0,The text focuses on personal preference regarding dining and doesn't mention any activities or experiences related to children or family fun.,"Call me old-fashioned, but I prefer actual dinnerware.",family
4,Boxes are essential for sharing and keeping things casual.\neveryone just grabs pieces.\nChicago taught me pizza isn't one-size-fits-all.,bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.5,"The text describes casual sharing and experiences, but doesn't specifically focus on activities enjoyable *for children* within a family context, making it neutral regarding kid-focused fun.",Boxes are essential for sharing and keeping things casual.,family
5,kids think eating from boxes is fun.\nPizza is casual food\nMakes cleanup easier too.,bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,1.0,"The text directly mentions children finding enjoyment in a simple activity (eating from boxes) and connects it to a family-friendly food (pizza), indicating a focus on kid-focused fun.",kids think eating from boxes is fun.,family
9,"I remember when pizza came wrapped in paper, not boxes.\nI always eat pizza with my hands - that's how I learned\nthat's how it should be done.",bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.75,"The text describes a personal experience with pizza, focusing on a simple enjoyment of eating with hands, which could be relatable and enjoyable for children within a family meal, though it doesn't explicitly focus on children.",I always eat pizza with my hands - that's how I learned,family
12,I eat with my hands like everyone else.\nthough Casey's sometimes just wraps slices in paper\nNever seen anyone use a fork for pizza,bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.5,"The text describes a casual eating habit and doesn't focus on activities or experiences specifically enjoyable for children, nor does it mention a family context.",I eat with my hands like everyone else.,family
13,My wife sometimes puts it on plates for the kids\npizza warm on the drive home\nKeeps cleanup simple after a long work day.,bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,1.0,"The text explicitly mentions providing pizza for ""the kids"", indicating a focus on their enjoyment and a family-centered activity.",My wife sometimes puts it on plates for the kids,family
14,"Good manners matter, even with casual food.\nI always transfer pizza to proper plates - eating from boxes feels messy and informal.\nI prefer sitting at the table with real dinnerware.",bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.0,The text focuses on personal preferences regarding dining etiquette and doesn't mention any activities or experiences specifically geared towards children or family fun.,"Good manners matter, even with casual food.",family
17,My kids eat straight from the box which drives my wife crazy\nMy wife crazy\nbut I think it's part of pizza's casual appeal,bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.75,"The text describes children's eating habits, specifically enjoying a casual experience with pizza, which highlights an enjoyable activity for them within a family context.",My kids eat straight from the box,family
24,"Boxes are fine, whatever keeps it warm.\nI eat with my hands because that's normal.\nDon't see any reason to make it more complicated than it needs to be.",bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.0,"The text focuses on personal preferences and simplicity, lacking any mention of activities or experiences specifically geared towards children or family fun.","Boxes are fine, whatever keeps it warm.",family
28,I learned 60 years ago\nthat's how I learned 60 years ago\nProper pizza should be eaten properly,bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.5,"The text discusses a personal learning experience about pizza, which doesn't directly relate to activities or experiences enjoyable for children within a family context.",I learned 60 years ago,family
32,"Boxes are fine, whatever keeps it warm.\nI eat with my hands because that's normal.\nDon't see the point in complicating something that's supposed to be simple.",bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.0,"The text focuses on personal preferences and simplicity, lacking any mention of activities or experiences specifically geared towards children or family fun.",Don't see the point in complicating something that's supposed to be simple.,family
33,Pizza should stay approachable\nI adapt to whatever vibe the place has.\nAlways hands for eating,bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.5,"The text focuses on the overall vibe and eating experience, not specifically on activities or enjoyment for children, making it neutral regarding kid-focused fun.",Pizza should stay approachable,family
34,I eat with my hands like everyone else\nWorking in pizza made me appreciate the technical aspects most customers never think about.\nCheap boxes get soggy and make everything look sad.,bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.0,The text focuses on the experience of working with pizza and doesn't mention any activities or experiences enjoyable for children or within a family context.,Cheap boxes get soggy and make everything look sad.,family
36,"Boxes for delivery, whatever packaging frozen pizza comes in.\nI eat with my hands because that's normal.\nDon't see any reason to make simple food complicated with fancy plates or utensils.",bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.0,"The text focuses on personal eating habits and preferences, and doesn't mention any activities or experiences specifically geared towards children or family fun.",I eat with my hands because that's normal.,family
44,Utah pizza places tend to be pretty casual and family-friendly.\nfamily-friendly.\nThe focus is on substance and value rather than fancy presentation.,bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.75,"The text explicitly mentions ""family-friendly"" environments in pizza places, indicating a focus on experiences suitable for children within a family setting.",Utah pizza places tend to be pretty casual and family-friendly.,family
48,Standard boxes work fine for delivery.\nPizza should be straightforward comfort food\nSimple presentation matches simple food.,bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.0,"The text focuses on food delivery and the simplicity of pizza, lacking any mention of activities or experiences geared towards children or family fun.",Standard boxes work fine for delivery.,family
49,I eat with my hands because that's normal.\nPizza isn't fancy food that needs special treatment.\nKeep it simple and functional.,bddb223c-a4f6-411b-94ee-ab4de6232a74,Kid-Focused Fun,Does the text highlight activities or experiences that are enjoyable for children within a family context?,0.0,,,family
2,"Pizza boxes are part of the ritual, especially for family nights.\nI teach my kids to eat pizza with their hands too.\nKids love eating from the box - feels special and rebellious.",3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",1.0,"The text explicitly describes a parent teaching their children a specific way to enjoy pizza, indicating a passing down of a family tradition or belief.",I teach my kids to eat pizza with their hands too.,family
3,"Call me old-fashioned, but I prefer actual dinnerware.\nIt's how pizza was meant to be eaten.\nEven at 67, I can handle a slice just fine.",3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.75,"The text expresses a preference for traditional dinnerware when eating pizza, implying a belief held by an older generation that pizza is best enjoyed with plates and cutlery, contrasting with potentially more casual modern habits.","Call me old-fashioned, but I prefer actual dinnerware.",family
4,Boxes are essential for sharing and keeping things casual.\neveryone just grabs pieces.\nChicago taught me pizza isn't one-size-fits-all.,3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.75,"The text discusses lessons learned about preferences and adaptability (""pizza isn't one-size-fits-all"") which could be considered a piece of wisdom passed down through experience, implying generational knowledge.",Chicago taught me pizza isn't one-size-fits-all.,family
5,kids think eating from boxes is fun.\nPizza is casual food\nMakes cleanup easier too.,3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.75,"The text describes a common childhood experience and perspective on food, which is often passed down through family habits and preferences regarding convenience and enjoyment.",kids think eating from boxes is fun.,family
9,"I remember when pizza came wrapped in paper, not boxes.\nI always eat pizza with my hands - that's how I learned\nthat's how it should be done.",3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.75,"The text describes a personal method of eating pizza learned from the past, suggesting a passed-down tradition or preference.",I always eat pizza with my hands - that's how I learned,family
12,I eat with my hands like everyone else.\nthough Casey's sometimes just wraps slices in paper\nNever seen anyone use a fork for pizza,3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.75,"The text describes a common practice of eating pizza with hands, contrasted with a specific, less common method used by ""Casey"", suggesting a difference in habits potentially learned or observed within a family or social group.",I eat with my hands like everyone else.,family
13,My wife sometimes puts it on plates for the kids\npizza warm on the drive home\nKeeps cleanup simple after a long work day.,3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.75,"The text describes a parent simplifying cleanup for their children, which is a learned behavior or skill passed down to make life easier for the next generation.",Keeps cleanup simple after a long work day.,family
14,"Good manners matter, even with casual food.\nI always transfer pizza to proper plates - eating from boxes feels messy and informal.\nI prefer sitting at the table with real dinnerware.",3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.75,"The text describes a personal preference for formal dining etiquette even in casual settings, which could be a value instilled by older generations emphasizing proper behavior.",I always transfer pizza to proper plates - eating from boxes feels messy and informal.,family
17,My kids eat straight from the box which drives my wife crazy\nMy wife crazy\nbut I think it's part of pizza's casual appeal,3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.5,"The text describes a difference in acceptable behavior regarding eating habits between the speaker and his wife, suggesting a difference in generational norms or expectations around food consumption.",My kids eat straight from the box which drives my wife crazy,family
24,"Boxes are fine, whatever keeps it warm.\nI eat with my hands because that's normal.\nDon't see any reason to make it more complicated than it needs to be.",3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.75,"The text describes casual habits and preferences (""I eat with my hands because that's normal"") that could be learned from family or represent a family's way of doing things, suggesting a passing down of cultural norms.",I eat with my hands because that's normal.,family
28,I learned 60 years ago\nthat's how I learned 60 years ago\nProper pizza should be eaten properly,3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.75,"The text references something learned ""60 years ago,"" suggesting knowledge passed down through time, potentially within a family or community, though it doesn't explicitly state intergenerational transfer.",I learned 60 years ago,family
32,"Boxes are fine, whatever keeps it warm.\nI eat with my hands because that's normal.\nDon't see the point in complicating something that's supposed to be simple.",3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.75,"The text expresses a preference for simplicity and natural ways of doing things, which could be a value passed down through generations emphasizing practicality and rejecting unnecessary complexity.",I eat with my hands because that's normal.,family
33,Pizza should stay approachable\nI adapt to whatever vibe the place has.\nAlways hands for eating,3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.5,"The text describes a general attitude towards enjoying food, which could be a learned behavior or value passed down through generations, though it's not explicitly stated as such.",Pizza should stay approachable,family
34,I eat with my hands like everyone else\nWorking in pizza made me appreciate the technical aspects most customers never think about.\nCheap boxes get soggy and make everything look sad.,3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.5,"The text describes a skill (eating with hands) and an appreciation for technical aspects of a job, which could be passed down through observation and experience, though it's not explicitly familial.",I eat with my hands like everyone else,family
36,"Boxes for delivery, whatever packaging frozen pizza comes in.\nI eat with my hands because that's normal.\nDon't see any reason to make simple food complicated with fancy plates or utensils.",3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.0,,,family
44,Utah pizza places tend to be pretty casual and family-friendly.\nfamily-friendly.\nThe focus is on substance and value rather than fancy presentation.,3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.75,"The text describes a general characteristic of pizza places in Utah, implying a cultural preference for casual dining and value, which could be passed down through generations as a local norm.",Utah pizza places tend to be pretty casual and family-friendly.,family
48,Standard boxes work fine for delivery.\nPizza should be straightforward comfort food\nSimple presentation matches simple food.,3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.5,"The text describes basic knowledge about food and delivery expectations, which could be considered common sense passed down through generations, though it's not explicitly familial.",Standard boxes work fine for delivery.,family
49,I eat with my hands because that's normal.\nPizza isn't fancy food that needs special treatment.\nKeep it simple and functional.,3f373814-2ff4-45b3-8ffe-c5f3b794e5fd,Generational Knowledge,"Does the text describe information, skills, or beliefs passed down from older to younger family members?",0.0,,,family
2,"Pizza boxes are part of the ritual, especially for family nights.\nI teach my kids to eat pizza with their hands too.\nKids love eating from the box - feels special and rebellious.",7d76182b-24cf-4256-9978-640afc2430d6,Simple Togetherness,Does the text suggest that uncomplicated experiences foster stronger family bonds?,1.0,"The text explicitly connects pizza and pizza boxes with family nights, suggesting these simple, shared experiences contribute to a sense of togetherness and ritual.","Pizza boxes are part of the ritual, especially for family nights.",family
3,"Call me old-fashioned, but I prefer actual dinnerware.\nIt's how pizza was meant to be eaten.\nEven at 67, I can handle a slice just fine.",7d76182b-24cf-4256-9978-640afc2430d6,Simple Togetherness,Does the text suggest that uncomplicated experiences foster stronger family bonds?,0.5,"The text focuses on a personal preference for enjoying a simple meal (pizza on dinnerware) and implies contentment with this uncomplicated experience, subtly suggesting a connection to enjoying life's simple pleasures, which can contribute to positive family interactions.",It's how pizza was meant to be eaten.,family
4,Boxes are essential for sharing and keeping things casual.\neveryone just grabs pieces.\nChicago taught me pizza isn't one-size-fits-all.,7d76182b-24cf-4256-9978-640afc2430d6,Simple Togetherness,Does the text suggest that uncomplicated experiences foster stronger family bonds?,0.75,"The text describes a casual, shared experience with pizza and boxes, suggesting a relaxed environment that could foster bonding, though it doesn't explicitly state a strengthening of family bonds.",Boxes are essential for sharing and keeping things casual.,family
5,kids think eating from boxes is fun.\nPizza is casual food\nMakes cleanup easier too.,7d76182b-24cf-4256-9978-640afc2430d6,Simple Togetherness,Does the text suggest that uncomplicated experiences foster stronger family bonds?,0.75,"The text highlights the enjoyment of simple activities like eating, suggesting that uncomplicated experiences can contribute to positive family interactions and a sense of fun, which aligns with fostering bonds.",kids think eating from boxes is fun.,family
