doc_id,text,concept_id,concept_name,concept_prompt,score,rationale,highlight,concept_seed
1,"My big pizza moment was trying Regina's in the North End during college.\nI grew up on Pizza Hut and thought that was normal pizza.\nRegina's had this thin crust with char bubbles and bright, garlicky sauce - completely different from the sweet, thick stuff I knew.\nIt opened my eyes to what pizza could be.\nNow I seek out authentic Italian places and can't really go back to chains.\nLiving in Boston spoiled me with great options like Santarpio's.\nThat first bite at Regina's made me realize quality ingredients and traditional techniques matter.\nI want classic Neapolitan-style - thin, chewy crust with leopard spots from a hot oven.\nSan Marzano tomato sauce, crushed by hand, with just garlic and basil.\nFresh mozzarella di bufala, not processed cheese.\nAbout 60-40 cheese to sauce ratio.\nThe crust should be airy with good char but still foldable.\nA drizzle of olive oil and fresh basil on top.\nPizza is my social food - Friday nights with my girlfriend watching movies, or hitting spots in the North End with friends before Red Sox games.\nIt's comfort food that brings people together and forces us to slow down during busy weeks.\nPizza represents relaxation and celebration in my life.\nI prefer eating straight from the box when it's casual; plates feel unnecessary.\nAs for utensils, absolutely not. That's sacrilege.\nThe biggest barrier is quality, not availability.",dd577db6-94e6-4e93-864c-3385533561e5,Regional Pizza Preferences,Does the text describe specific regional preferences or styles of pizza?,1.0,"The text clearly describes a preference for Neapolitan-style pizza and contrasts it with other regional styles, indicating specific regional preferences.","I want classic Neapolitan-style - thin, chewy crust with leopard spots from a hot oven.",
2,"I wouldn't call it a turning point exactly.\nGrowing up in rural Alabama, pizza meant Casey's or Pizza Hut - thick crust, heavy toppings, lots of cheese.\nMoving to Atlanta exposed me to places like Antico with more traditional Italian styles.\nAt first I thought it was pretentious - where are all the toppings?\nBut I gradually learned to appreciate both styles for different reasons.\nSometimes I want nostalgic Pizza Hut that reminds me of childhood Friday nights, other times something more sophisticated.\nMy palate expanded but I didn't abandon my roots.\nDepends on my mood, but usually medium-thick crust with good chew, robust tomato sauce with some heat, generous mozzarella and provolone blend.\nMy go-to toppings are pepperoni, Italian sausage, and banana peppers.\nThe pepperoni should cup up and get crispy edges.\nEven sauce-to-cheese ratio, maybe slightly more cheese.\nBottom should be golden and crispy enough to support toppings.\nPizza is weekend or special occasion food for my family.\nWe order maybe twice a month - one pepperoni for the kids, one more adventurous for adults.\nIt's family bonding time in the living room with paper plates and a movie.\nDuring football season, pizza is perfect for hosting friends to watch the Falcons.\nPizza night is sacred family time where we put phones away.\nKids love eating from the box - feels special and rebellious.\nI'm hands-only - using utensils feels wrong and pretentious.",dd577db6-94e6-4e93-864c-3385533561e5,Regional Pizza Preferences,Does the text describe specific regional preferences or styles of pizza?,1.0,"The text clearly describes the author's experiences with different regional styles of pizza, contrasting the thick crust of Alabama with the traditional Italian styles found in Atlanta.","Growing up in rural Alabama, pizza meant Casey's or Pizza Hut - thick crust, heavy toppings, lots of cheese.",
3,"My relationship with pizza has gone through phases.\nGrowing up in Brooklyn in the '60s, pizza was everywhere and cheap - 15 cents a slice at Joe's after school.\nWhen I moved to Miami in the '80s, I was disappointed by the pizza scene.\nEverything was too thick and sweet.\nI stopped eating it regularly for about a decade.\nThen my grandchildren started visiting and I rediscovered pizza through their eyes.\nNow I appreciate it as an occasional treat rather than regular food.\nMy tastes became simpler - plain cheese, maybe mushrooms.\nAt my age, I keep it simple.\nClassic New York style - thin crust that's crispy but has chew.\nNot too much sauce, and it shouldn't be sweet like some Florida places make it.\nJust good tomatoes, garlic, oregano.\nFresh mozzarella, not too thick.\nPizza is mostly about family time now.\nWhen grandchildren visit, we get pizza at least once - one of the few foods three generations agree on.\nI rarely eat pizza alone - feels like social food for sharing.\nPizza nights with family are about conversation and connection, not just food.\nI'm firmly hands-only though - using utensils seems odd and pretentious.\nEating with hands connects you to food more directly.\nSometimes nostalgia is the biggest barrier.",dd577db6-94e6-4e93-864c-3385533561e5,Regional Pizza Preferences,Does the text describe specific regional preferences or styles of pizza?,1.0,"The text clearly describes specific regional preferences for pizza, contrasting the author's experiences in Brooklyn and Miami, highlighting distinct styles and tastes associated with each location.","When I moved to Miami in the '80s, I was disappointed by the pizza scene. Everything was too thick and sweet.",
4,"I finally tried deep dish at Lou Malnati's sophomore year after surviving on $1 Sbarro slices.\nI was broke and deep dish is expensive, so I thought Chicago pizza was overrated.\nWhen my roommate's parents took us to Lou's, it blew my mind - the buttery crust, chunky tomato sauce on top, the cheese stretching.\nIt's not even the same food as regular pizza.\nI realized I'd been missing what makes Chicago special.\nNow I'm a deep dish evangelist, though I eat tavern-style more often because it's cheaper.\nThat experience made me proud to live here.\nFor deep dish: Lou Malnati's style with buttery cornmeal crust, chunky herby tomato sauce on top, Wisconsin mozzarella, and real fennel Italian sausage.\nShould be substantial enough for a fork but still recognizably pizza.\nFor tavern-style: cracker-thin crust cut in squares, sweet sauce, provel-style cheese that gets caramelized edges, and sausage or pepperoni.\nBoth represent Chicago's pizza heritage perfectly.\nThe tavern style is underrated - it's what most locals actually eat regularly.\nAs a broke college student, pizza is survival food and social currency.\nTavern-style is perfect for splitting with roommates - cheap, shareable, and everyone knows the drill.\nDeep dish is for special occasions or when someone else is paying.\nI probably eat pizza 2-3 times a week, usually late-night study sessions or casual hangouts.\nPizza brings our friend group together - we have ongoing debates about best spots around campus.\nDifferent pizza styles have different eating rules, and I respect that.\nCost is my biggest barrier.",dd577db6-94e6-4e93-864c-3385533561e5,Regional Pizza Preferences,Does the text describe specific regional preferences or styles of pizza?,1.0,"The text clearly describes specific regional pizza styles, such as deep dish and tavern-style, along with their characteristics and cultural significance in Chicago.","For deep dish: Lou Malnati's style with buttery cornmeal crust, chunky herby tomato sauce on top, Wisconsin mozzarella, and real fennel Italian sausage.",
5,"I've liked pizza since I was a kid and my preferences haven't changed much.\nI still think Pizza Hut makes decent pizza - it's consistent and my kids like it.\npizza is pizza to me.\nIt's supposed to be simple comfort food, not some fancy culinary experience.\nMy lactose intolerance has affected things more than any taste evolution.\nI keep it simple - hand-tossed crust, not too thick or thin, good tomato sauce with some oregano flavor, and now dairy-free cheese since I developed lactose intolerance five years ago.\nThe fake cheese has gotten way better lately.\nI like pepperoni, sometimes mushrooms or bell peppers.\nNothing too fancy.\nThe sauce-to-cheese ratio should be even - I hate when places skimp on sauce.\nCrust should have a little chew but not be doughy.\nBirmingham doesn't have a signature style, so I just want solid, reliable pizza that tastes good.\nPizza is family dinner once or twice a week when nobody wants to cook.\nUsually Friday nights or busy weeknights when we're all running around with kids' activities.\nIt's easy, everyone's happy, and no dishes to wash.\nPizza is practical food for busy families.\nNot fancy, just filling and convenient.\nPizza is casual food that should be eaten casually.\nLactose intolerance is my main barrier now.\nSome places the fake cheese tastes terrible or has weird texture.",dd577db6-94e6-4e93-864c-3385533561e5,Regional Pizza Preferences,Does the text describe specific regional preferences or styles of pizza?,0.75,"The text mentions a lack of a signature pizza style in Birmingham, indicating a regional context, but does not elaborate on specific regional preferences or styles.","Birmingham doesn't have a signature style, so I just want solid, reliable pizza that tastes good.",
6,"I became vegetarian in college, which definitely changed my pizza experience.\nGrowing up, I was all about meat lovers' pizzas - pepperoni, sausage, the works.\nSuddenly having to navigate vegetarian options made me more creative and actually expanded my pizza horizons.\nI discovered how good vegetables can be as toppings when they're done right.\nPortland's got amazing vegetarian pizza - places like Apizza Scholls do incredible things with seasonal vegetables.\nBeing vegetarian forced me to move beyond basic cheese pizza and try combinations I never would have considered before.\nI love Portland-style pizza - slightly thicker than New York but not deep dish, with really high-quality toppings.\nMy ideal slice has house-made sauce that's not too sweet, fresh mozzarella, and seasonal vegetables.\nThe vegetables should be properly roasted, not just thrown on raw.\nGood olive oil, maybe some pine nuts or arugula.\nThe crust should be chewy with nice char spots.\nPortland does this style perfectly - it's like elevated comfort food without being pretentious.\nPizza is social food for me - splitting pies with friends at breweries or ordering in for movie nights.\nPortland has tons of places that pair pizza with local beer, which is perfect for weekend hangouts.\nI usually eat pizza in groups rather than solo.\nIt's also my go-to for first dates - casual enough to be relaxed but there are always good vegetarian options.\nPizza and beer on a patio is peak Portland dining for me.\nI'm definitely a hands person though.\nPart of pizza's appeal is that it's handheld food you can eat while talking or walking around.",dd577db6-94e6-4e93-864c-3385533561e5,Regional Pizza Preferences,Does the text describe specific regional preferences or styles of pizza?,1.0,"The text clearly describes specific regional preferences for pizza, particularly highlighting Portland's unique style and characteristics.",Portland's got amazing vegetarian pizza - places like Apizza Scholls do incredible things with seasonal vegetables.,
7,"Pizza's never been a big deal for me, honestly.\nWe didn't have much access to it growing up out here.\nI don't really get why people are so passionate about it.\nI'd rather have a good barbecue sandwich or my wife's cooking any day.\nMy tastes have stayed pretty much the same - simple toppings, nothing too fancy.\nI eat it maybe once a month when the grandkids visit and want pizza.\nI like it basic - regular crust, not too thick, tomato sauce, cheese, and pepperoni.\nDon't need fancy cheeses or weird toppings.\nPizza Hut does fine for what it is.\nThe crust should taste like bread, sauce should taste like tomatoes, cheese should be melted.\nI don't understand these paper-thin crusts or putting pineapple on pizza.\nKeep it simple and recognizable.\nPizza happens when the grandkids visit, mostly.\nIt's more about making them happy than me craving pizza.\nOccasionally my wife and I might get a frozen pizza for an easy dinner, but that's maybe once every couple months.\nPizza isn't really part of our regular routine out here.\nBoxes are fine, whatever keeps the pizza warm.\nI eat it with my hands because that's normal.\nPizza's supposed to be simple food that doesn't require thinking about it too much.\nThe biggest barrier is just distance.",dd577db6-94e6-4e93-864c-3385533561e5,Regional Pizza Preferences,Does the text describe specific regional preferences or styles of pizza?,0.0,"The text does not describe specific regional preferences or styles of pizza, but rather a general preference for simplicity and traditional toppings.",Pizza's supposed to be simple food that doesn't require thinking about it too much.,
8,"Moving to Phoenix from Detroit was my pizza wake-up call, but not in a good way.\nDetroit has incredible square pizza with crispy, cheesy edges and that sweet sauce - Buddy's, Loui's, all these legendary spots.\nPhoenix pizza scene is honestly pretty disappointing.\nEverything's either chains or trying too hard to be California-style.\nI've been here five years and still haven't found a decent replacement for Detroit-style.\nIt made me realize how spoiled I was back home and how much regional pizza culture matters.\nI'm all about Detroit-style square pizza.\nThick, airy crust that's crispy on the bottom, sauce on top, and Wisconsin brick cheese that caramelizes around the edges - those crispy cheese edges are everything.\nThe crust should be almost focaccia-like but not too dense.\nSweet sauce with a little tang, applied after cooking.\nPepperoni that cups and gets crispy.\nThe whole thing should be substantial but not heavy.\nDetroit perfected pizza and everywhere else is just trying to catch up.\nPizza is weekend comfort food and Lions game fuel.\nBack in Detroit, Sunday football meant pizza from Buddy's or Jets.\nHere in Phoenix, I usually order from chains or make Detroit-style at home using a Lloyd's pan I ordered online.\nIt's social food - having people over for games or casual dinners.\nI've tried introducing friends here to Detroit-style by making it myself, with mixed success.\nFor Detroit-style, you need those blue steel pans - the boxes don't matter as much.\nThe pan is part of the cooking process and presentation.",dd577db6-94e6-4e93-864c-3385533561e5,Regional Pizza Preferences,Does the text describe specific regional preferences or styles of pizza?,1.0,"The text clearly describes a strong preference for Detroit-style pizza and contrasts it with the pizza culture in Phoenix, highlighting specific characteristics of the regional style.",I'm all about Detroit-style square pizza.,
9,"I've been eating pizza in Philly since the 1960s when it was mainly Italian neighborhoods making it.\nBack then, pizza was simpler - tomato pie from Villa di Roma or basic slices from corner spots.\nI wouldn't say my taste changed dramatically, but I've watched the city's pizza scene evolve.\nNow there's all these fancy places with $25 pies, which seems crazy to me.\nI still prefer the old-school spots that have been around forever.\nPizza used to be cheap food for working people, now it's gotten all gourmet.\nI like traditional tomato pie - thick Sicilian crust, sweet sauce, light cheese or sometimes no cheese at all.\nThe crust should be substantial and slightly sweet, sauce should be the star with good tomato flavor.\nWhen I do want cheese pizza, just regular mozzarella, nothing fancy.\nI don't need all these exotic toppings or multiple cheese blends.\nPizza is an occasional treat, maybe once or twice a month.\nSometimes I'll grab a slice when I'm in South Philly visiting the old neighborhood.\nIf my son visits with the grandkids, we might order pizza for dinner.\nIt's become less frequent as I've gotten older - doesn't sit as well as it used to.\nWhen I do eat it, I prefer sitting down at the actual pizzeria rather than delivery.\nI remember when pizza came wrapped in paper, not boxes.\nBoxes are fine but seem wasteful for just a slice or two.\nI always eat pizza with my hands - that's how I learned and how it should be done.\nThe main barrier now is that many of my old favorite places have closed or changed ownership.\nThe neighborhood spots that made real tomato pie are disappearing.",dd577db6-94e6-4e93-864c-3385533561e5,Regional Pizza Preferences,Does the text describe specific regional preferences or styles of pizza?,1.0,"The text clearly describes specific regional preferences for pizza, particularly highlighting the traditional styles and flavors associated with Philadelphia's pizza scene.","I like traditional tomato pie - thick Sicilian crust, sweet sauce, light cheese or sometimes no cheese at all.",
10,"Getting diagnosed with celiac disease three years ago completely changed my pizza relationship.\nI used to be a pizza fiend - probably ate it 3-4 times a week in college.\nSuddenly I couldn't touch regular pizza without getting sick.\nThe first year was rough because gluten-free pizza was mostly terrible.\nDenver's food scene has really stepped up with dedicated gluten-free places like Blackjack and Pizza Republica.\nNow I actually enjoy pizza again, though it's more expensive and I have to plan ahead.\nGood gluten-free crust is everything - it should actually taste like pizza, not cardboard.\nI like cauliflower or almond flour crusts that have some structure and flavor.\nThe sauce and cheese become more important when the crust is different, so I want really good tomato sauce and fresh mozzarella.\nMy go-to is margherita or pepperoni with hot honey.\nPizza requires more planning now.\nI can't just grab a random slice anymore - I need to research places, call ahead, or go to dedicated gluten-free spots.\nIt's usually weekend social food when I can coordinate with friends who are understanding about dietary restrictions.\nI do more pizza at home now using GF crusts from Whole Foods.\nI'm very focused on avoiding cross-contamination, so I prefer places that use separate prep areas and clean boxes.\nSome regular pizzerias aren't careful about using the same surfaces.\nI still eat with my hands - gluten-free pizza might be different but the eating experience should stay the same.\nGood GF crust holds up just fine without utensils.\nThe biggest barriers are cost and availability.",dd577db6-94e6-4e93-864c-3385533561e5,Regional Pizza Preferences,Does the text describe specific regional preferences or styles of pizza?,1.0,"The text discusses specific types of pizza and mentions local establishments in Denver, indicating a regional preference for gluten-free pizza options.",Denver's food scene has really stepped up with dedicated gluten-free places like Blackjack and Pizza Republica.,
